STATcube

"Swine livestock as of 1993 (Q)"
"Reference date by Number of pigs and Pig category"
"Counting: Number of pigs"

"Values","Number of pigs",,,,,,,,,,,,,,,,,,,,
"Pig category","Piglets under 20kg live weight","Piglets under 20kg live weight - Annotations","Young pigs from 20 to <50kg live weight","Young pigs from 20 to <50kg live weight - Annotations","Fattening pigs (50 to <80kg)","Fattening pigs (50 to <80kg) - Annotations","Fattening pigs (80 to <110kg)","Fattening pigs (80 to <110kg) - Annotations","Fattening pigs (110kg and over)","Fattening pigs (110kg and over) - Annotations","Breeding sows; Young sows, not yet served","Breeding sows; Young sows, not yet served - Annotations","Breeding sows; Young sows, served for the first time","Breeding sows; Young sows, served for the first time - Annotations","Breeding sows; Older sows, served","Breeding sows; Older sows, served - Annotations","Breeding sows; Older sows, not served","Breeding sows; Older sows, not served - Annotations","Breeding boars","Breeding boars - Annotations",
"Reference date",
"June 2023",617638,,718730,,504027,,409060,,106341,,20159,,22181,,124959,,44721,,4884,,
"April 1993",1164700,,960234,,719341,,455217,,39317,,36842,,48777,,194339,,109042,,14608,,
"August 1993",1094465,,1046999,,764911,,457134,,42463,,34468,,43315,,199961,,109783,,15126,,
"December 1993",997945,,1070557,,778980,,509177,,67138,,33984,,38864,,200126,,108220,,14807,,
"April 1994",1075933,,986066,,724363,,467120,,40236,,31234,,44330,,191665,,105751,,14131,,
"August 1994",1081093,,1058908,,784362,,457820,,44384,,33982,,42050,,202711,,108620,,14289,,
"December 1994",965992,,1044916,,766198,,497075,,59872,,35840,,40324,,204352,,100449,,13973,,
"April 1995",1093453,,953729,,713360,,478321,,42684,,35196,,46270,,202849,,104143,,14150,,
"August 1995",1037196,,1013592,,758298,,455165,,42908,,32960,,40869,,207651,,104356,,13714,,
"December 1995",947707,,1044654,,740465,,502942,,68927,,32874,,39705,,212736,,102635,,13540,,
"April 1996",1032682,,927250,,670643,,449563,,44442,,34481,,44100,,198838,,104479,,13337,,
"August 1996",1001779,,1016452,,716782,,445269,,41001,,31467,,39978,,210192,,101046,,13415,,
"December 1996",953126,,1049597,,726438,,474893,,61060,,33633,,39275,,211014,,101514,,13197,,
"April 1997",1057769,,951886,,700622,,474117,,45349,,32453,,43691,,202503,,102408,,13001,,
"August 1997",1025031,,1041009,,754220,,464220,,48229,,31936,,40600,,213460,,100772,,13011,,
"December 1997",951800,,1061478,,719362,,481308,,68186,,37982,,39419,,211425,,96440,,12476,,
"April 1998",1083094,,1004851,,707086,,506549,,48158,,33398,,45839,,205878,,102072,,12764,,
"August 1998",1080706,,1095588,,775880,,494221,,54445,,32594,,40064,,215859,,101127,,12542,,
"December 1998",967094,,1081898,,754169,,543906,,76962,,33559,,34739,,206169,,99706,,12108,,
"April 1999",970819,,946064,,678386,,488156,,60151,,29586,,37654,,197334,,92126,,11722,,
"August 1999",966555,,993664,,694376,,463755,,53679,,25828,,34213,,192866,,92764,,11259,,
"December 1999",862910,,975532,,682962,,493011,,74802,,26122,,30851,,191618,,84298,,10923,,
"June 2000",895039,,929481,,615082,,459326,,63108,,26391,,34384,,189825,,79814,,10495,,
"December 2000",853315,,948350,,663270,,478432,,70286,,27258,,32735,,189562,,74622,,10101,,
"June 2001",896239,,933865,,622098,,440338,,50943,,26567,,39804,,187773,,78283,,10196,,
"December 2001",869443,,956512,,687574,,504844,,71835,,32877,,35307,,194069,,77140,,10804,,
"June 2002",923650,,941053,,666081,,455937,,56353,,25698,,37854,,189702,,75984,,9820,,
"December 2002",816640,,959060,,662463,,455537,,69908,,34520,,31979,,193153,,72082,,9308,,
"June 2003",895281,,953861,,634787,,464299,,59510,,26804,,35772,,193649,,72075,,9514,,
"December 2003",785166,,881564,,655019,,512520,,76268,,30403,,34218,,195035,,66149,,8524,,
"June 2004",854811,,873583,,593836,,455608,,53912,,23337,,33805,,188184,,68268,,8957,,
"December 2004",792323,,856504,,607812,,475131,,76558,,28745,,30603,,184984,,64432,,8269,,
"June 2005",879379,,874441,,615142,,446478,,68649,,24543,,31671,,194920,,65469,,8630,,
"December 2005",762585,,867172,,646165,,498487,,79401,,28161,,31181,,189348,,59317,,7724,,
"June 2006",844044,,888906,,603346,,435612,,70558,,27978,,32440,,182676,,66730,,8092,,
"December 2006",779440,,841046,,607621,,499103,,90400,,33306,,30139,,186359,,63620,,8404,,
"June 2007",833163,,928428,,592712,,471152,,72142,,28641,,32039,,181712,,65551,,7521,,
"December 2007",796424,,898630,,665603,,518254,,89032,,30101,,31626,,185840,,63411,,7371,,
"June 2008",837235,,891832,,593205,,472663,,77316,,27675,,31492,,179350,,63611,,6559,,
"December 2008",742865,,860411,,603883,,480096,,79146,,27116,,28308,,176741,,58723,,6942,,
"June 2009",820557,,852809,,603332,,480670,,95404,,23713,,31579,,173113,,63168,,7123,,
"December 2009",759607,,839236,,624048,,506224,,113951,,27330,,29739,,171124,,59437,,6271,,
"June 2010",803496,,847549,,594366,,485835,,96844,,25947,,30014,,170860,,58891,,6379,,
"December 2010",764542,,839543,,636542,,502762,,106076,,23281,,28334,,169927,,57331,,5818,,
"June 2011",776918,,829204,,580097,,480746,,100856,,24200,,27650,,165457,,58239,,5734,,
"December 2011",717895,,804087,,603065,,496821,,107165,,26149,,27634,,159844,,56427,,5820,,
"June 2012",746753,,818322,,566090,,457741,,99001,,23263,,27029,,160468,,56827,,5993,,
"December 2012",718808,,792973,,600351,,491631,,116195,,23201,,25356,,155665,,53682,,5296,,
"June 2013",719435,,792756,,549369,,445239,,102808,,22966,,26001,,153784,,54565,,5537,,
"December 2013",684606,,785457,,578670,,483954,,108781,,22623,,25185,,152281,,49761,,4523,,
"June 2014",696273,,784759,,534831,,430489,,105625,,22311,,25068,,146927,,52160,,5581,,
"December 2014",692725,,762172,,564242,,486997,,115185,,21887,,23503,,148631,,48247,,4602,,
"June 2015",678284,,771343,,536619,,435822,,93209,,22019,,25076,,142205,,51002,,5475,,
"December 2015",683354,,744004,,559556,,484332,,124550,,24497,,23837,,147545,,49091,,4685,,
"June 2016",658546,,736230,,513331,,416429,,105341,,20383,,23202,,138746,,49286,,5208,,
"December 2016",660555,,743550,,566085,,457549,,124308,,21983,,25249,,142694,,46430,,4400,,
"June 2017",666985,,747735,,506123,,408022,,99263,,21629,,24997,,139344,,49766,,5171,,
"December 2017",667802,,736698,,554354,,487895,,129639,,22497,,23885,,146598,,46225,,4489,,
"June 2018",647842,,747524,,523848,,427423,,99424,,21316,,23338,,135176,,48008,,5074,,
"December 2018",652748,,714941,,553606,,487898,,134667,,22039,,22134,,139159,,45381,,4001,,
"June 2019",639122,,742470,,517948,,421421,,103399,,20588,,22939,,131930,,47127,,5013,,
"December 2019",650928,,722221,,557703,,470061,,138122,,23132,,23637,,138093,,45353,,3975,,
"June 2020",667175,,743177,,519075,,419853,,111787,,21781,,24794,,134019,,48470,,4920,,
"December 2020",664105,,739942,,558323,,463374,,150136,,22217,,23996,,138277,,42348,,3743,,
"June 2021",667729,,748994,,528156,,432984,,122192,,22448,,25422,,133282,,48297,,4876,,
"December 2021",655048,,728010,,537390,,483850,,153291,,22442,,22791,,135176,,43669,,3920,,
"June 2022",628148,,737588,,514272,,415587,,113451,,21041,,23810,,128264,,46047,,5015,,
"December 2022",635847,,680520,,518983,,455327,,147480,,20806,,20350,,126176,,40991,,3671,,


Symbol,Description
"Q","STATcube – Statistical Database of STATISTICS AUSTRIA"
"Swine livestock as of 1993",".) Subject of the statistics: Statistics on pig livestock as of 1993 held on livestock holdings in Austria. .) Current legal basis: Regulation (EC) No 1165/2008 of 19 November 2008 concerning livestock and meat statistics National legal basis BGBl II No. 163/2012 .) Updating: Time series adjustment three months after the reference dates 1 June and 1 December of each calendar year. Last update: [2023-08-24] .) Contact details: Directorate Spatial Statistics - Animal Production, Consumer Health Information System Martina Wiesinger, Tel. +43 1 71128 - 7959 tiere@statistik.gv.at Other Metadata: https://statistik.gv.at/en/statistics/agriculture-and-forestry/animals-animal-production/livestock/annual-livestock"


(c) Copyright Statistics Austria
