year,species,population,source,
2016,Cattle and Buffaloes,8834500,Nationl Bureau of Statistics of China,
2017,Cattle and Buffaloes,90387000,Nationl Bureau of Statistics of China,
2018,Cattle and Buffaloes,89153000,Nationl Bureau of Statistics of China,
2019,Cattle and Buffaloes,91384000,Nationl Bureau of Statistics of China,
2020,Cattle and Buffaloes,98774000,Nationl Bureau of Statistics of China,
2021,Cattle and Buffaloes,102651000,Nationl Bureau of Statistics of China,
2016,Horses,351200,Nationl Bureau of Statistics of China,
2017,Horses,3436000,Nationl Bureau of Statistics of China,
2018,Horses,3473000,Nationl Bureau of Statistics of China,
2019,Horses,3671000,Nationl Bureau of Statistics of China,
2020,Horses,3672000,Nationl Bureau of Statistics of China,
2021,Horses,3725000,Nationl Bureau of Statistics of China,
2016,Donkeys,259300,Nationl Bureau of Statistics of China,
2017,Donkeys,2678000,Nationl Bureau of Statistics of China,
2018,Donkeys,2533000,Nationl Bureau of Statistics of China,
2019,Donkeys,2601000,Nationl Bureau of Statistics of China,
2020,Donkeys,2324000,Nationl Bureau of Statistics of China,
2021,Donkeys,1967000,Nationl Bureau of Statistics of China,
2016,Mules,84500,Nationl Bureau of Statistics of China,
2017,Mules,811000,Nationl Bureau of Statistics of China,
2018,Mules,758000,Nationl Bureau of Statistics of China,
2019,Mules,714000,Nationl Bureau of Statistics of China,
2020,Mules,623000,Nationl Bureau of Statistics of China,
2021,Mules,542000,Nationl Bureau of Statistics of China,
2016,Camels,30500,Nationl Bureau of Statistics of China,
2017,Camels,323000,Nationl Bureau of Statistics of China,
2018,Camels,338000,Nationl Bureau of Statistics of China,
2019,Camels,405000,Nationl Bureau of Statistics of China,
2020,Camels,411000,Nationl Bureau of Statistics of China,
2021,Camels,462000,Nationl Bureau of Statistics of China,
2016,Hogs (Slaughtered included),1142831000,Nationl Bureau of Statistics of China,
2017,Hogs (Slaughtered included),1143610000,Nationl Bureau of Statistics of China,
2018,Hogs (Slaughtered included),1121995000,Nationl Bureau of Statistics of China,
2019,Hogs (Slaughtered included),854599000,Nationl Bureau of Statistics of China,
2020,Hogs (Slaughtered included),933545000,Nationl Bureau of Statistics of China,
2021,Hogs (Slaughtered included),1120504000,Nationl Bureau of Statistics of China,
2016,Goats,136918000,Nationl Bureau of Statistics of China,
2017,Goats,1382380000,Nationl Bureau of Statistics of China,
2018,Goats,1357470000,Nationl Bureau of Statistics of China,
2019,Goats,1372330000,Nationl Bureau of Statistics of China,
2020,Goats,1334520000,Nationl Bureau of Statistics of China,
2021,Goats,1333160000,Nationl Bureau of Statistics of China,
2016,Sheep,162388000,Nationl Bureau of Statistics of China,
2017,Sheep,1640790000,Nationl Bureau of Statistics of China,
2018,Sheep,1613880000,Nationl Bureau of Statistics of China,
2019,Sheep,1634900000,Nationl Bureau of Statistics of China,
2020,Sheep,1730950000,Nationl Bureau of Statistics of China,
2021,Sheep,1863770000,Nationl Bureau of Statistics of China,
1996,Cattle and Buffaloes,110318000,Nationl Bureau of Statistics of China,
2000,Cattle and Buffaloes,123532000,Nationl Bureau of Statistics of China,
2005,Cattle and Buffaloes,109908000,Nationl Bureau of Statistics of China,
